time,open,high,low,close,tick_volume
2026-02-26 17:00:00,5164.99,5172.36,5130.65,5141.77,28367
2026-02-26 17:30:00,5141.77,5192.83,5140.63,5185.71,25867
2026-02-26 18:00:00,5185.77,5187.27,5172.99,5180.38,18103
2026-02-26 18:30:00,5180.39,5186.36,5175.39,5179.68,14800
2026-02-26 19:00:00,5179.68,5190.45,5173.73,5174.31,12609
2026-02-26 19:30:00,5174.31,5177.88,5161.94,5167.24,15456
2026-02-26 20:00:00,5167.24,5178.41,5163.55,5177.24,12544
2026-02-26 20:30:00,5177.24,5185.85,5160.91,5180.46,13859
2026-02-26 21:00:00,5180.49,5189.28,5179.65,5185.65,9245
2026-02-26 21:30:00,5185.65,5191.03,5183.45,5190.85,5688
2026-02-27 03:00:00,5176.31,5180.06,5174.75,5174.83,5539
2026-02-27 03:30:00,5174.8,5194.51,5173.06,5194.0,14134
2026-02-27 04:00:00,5194.02,5199.85,5184.03,5184.25,13521
2026-02-27 04:30:00,5184.25,5186.32,5173.74,5183.63,15318
2026-02-27 05:00:00,5183.62,5188.23,5181.19,5186.94,10933
2026-02-27 05:30:00,5186.94,5190.66,5183.58,5184.06,6649
2026-02-27 06:00:00,5184.04,5188.79,5181.68,5187.21,5800
2026-02-27 06:30:00,5187.21,5188.61,5180.97,5181.7,5587
2026-02-27 07:00:00,5181.7,5194.78,5181.5,5194.74,6595
2026-02-27 07:30:00,5194.73,5200.37,5190.22,5197.83,11527
2026-02-27 08:00:00,5197.83,5199.15,5192.4,5193.45,10588
2026-02-27 08:30:00,5193.45,5196.46,5185.08,5185.72,11342
2026-02-27 09:00:00,5185.67,5189.71,5177.69,5178.7,9893
2026-02-27 09:30:00,5178.7,5182.86,5175.9,5176.18,8014
2026-02-27 10:00:00,5176.18,5182.43,5174.34,5177.7,8933
2026-02-27 10:30:00,5177.58,5182.32,5176.55,5178.82,7210
2026-02-27 11:00:00,5178.82,5182.23,5175.33,5179.2,7585
2026-02-27 11:30:00,5179.19,5182.67,5172.24,5175.99,8146
2026-02-27 12:00:00,5175.99,5181.0,5168.7,5173.65,8688
2026-02-27 12:30:00,5173.64,5178.77,5169.42,5177.7,7815
2026-02-27 13:00:00,5177.7,5178.67,5172.63,5177.73,5766
2026-02-27 13:30:00,5177.75,5185.78,5176.74,5185.74,6798
2026-02-27 14:00:00,5185.74,5190.84,5185.15,5186.84,9559
2026-02-27 14:30:00,5186.83,5189.0,5183.06,5187.52,8360
2026-02-27 15:00:00,5187.52,5240.6,5186.76,5235.49,24172
2026-02-27 15:30:00,5235.49,5236.2,5207.71,5223.13,23065
2026-02-27 16:00:00,5223.13,5236.53,5217.42,5231.33,17451
2026-02-27 16:30:00,5231.33,5233.85,5213.95,5223.76,26920
2026-02-27 17:00:00,5223.75,5240.16,5214.81,5231.47,24883
2026-02-27 17:30:00,5231.49,5246.51,5227.11,5239.62,20506
2026-02-27 18:00:00,5239.62,5257.98,5221.97,5234.38,23611
2026-02-27 18:30:00,5234.38,5238.41,5228.83,5229.12,21806
2026-02-27 19:00:00,5229.29,5236.0,5223.76,5228.8,17770
2026-02-27 19:30:00,5228.8,5237.06,5220.81,5234.71,16780
2026-02-27 20:00:00,5234.71,5238.45,5222.59,5230.53,16173
2026-02-27 20:30:00,5230.53,5246.91,5226.64,5245.28,13483
2026-02-27 21:00:00,5245.28,5252.36,5240.29,5248.18,13643
2026-02-27 21:30:00,5248.18,5251.38,5243.82,5250.05,11304
2026-02-27 22:00:00,5250.05,5262.3,5248.47,5256.96,10909
2026-02-27 22:30:00,5256.96,5265.5,5254.67,5263.41,14922
2026-02-27 23:00:00,5263.41,5264.15,5257.14,5262.21,5032
2026-02-27 23:30:00,5262.21,5281.03,5260.31,5278.77,5321
2026-03-02 01:00:00,5363.14,5379.37,5302.81,5354.92,18049
2026-03-02 01:30:00,5354.92,5393.5,5352.95,5387.07,18465
2026-03-02 02:00:00,5387.07,5388.28,5348.98,5364.57,20988
2026-03-02 02:30:00,5364.61,5373.49,5340.88,5347.45,16045
2026-03-02 03:00:00,5347.34,5347.58,5303.15,5307.66,26913
2026-03-02 03:30:00,5307.67,5339.11,5305.8,5325.04,22300
2026-03-02 04:00:00,5325.04,5336.25,5316.79,5331.26,15858
2026-03-02 04:30:00,5331.26,5351.83,5328.09,5346.5,13894
2026-03-02 05:00:00,5346.5,5359.54,5344.33,5355.63,13274
2026-03-02 05:30:00,5355.63,5366.91,5353.61,5366.49,8576
2026-03-02 06:00:00,5366.49,5367.23,5355.61,5363.43,8211
2026-03-02 06:30:00,5363.43,5364.5,5345.23,5355.96,8597
2026-03-02 07:00:00,5355.96,5356.08,5340.62,5350.86,9855
2026-03-02 07:30:00,5350.86,5366.33,5348.85,5366.11,12338
2026-03-02 08:00:00,5366.11,5381.41,5363.5,5380.71,11575
2026-03-02 08:30:00,5380.71,5389.88,5374.28,5387.57,11691
2026-03-02 09:00:00,5387.57,5419.26,5384.93,5408.6,12454
2026-03-02 09:30:00,5408.6,5414.48,5402.16,5408.12,11102
2026-03-02 10:00:00,5408.12,5416.13,5402.27,5415.77,11606
2026-03-02 10:30:00,5415.77,5416.74,5391.14,5394.07,11302
2026-03-02 11:00:00,5394.07,5400.14,5386.1,5394.7,11211
2026-03-02 11:30:00,5394.7,5402.82,5387.29,5392.09,9753
2026-03-02 12:00:00,5392.18,5394.56,5379.2,5390.09,10347
2026-03-02 12:30:00,5390.09,5400.87,5381.57,5389.45,10022
2026-03-02 13:00:00,5389.45,5397.19,5382.37,5390.46,8169
2026-03-02 13:30:00,5390.46,5399.98,5375.51,5385.39,10990
2026-03-02 14:00:00,5385.33,5398.44,5378.88,5394.04,12442
2026-03-02 14:30:00,5394.04,5398.78,5385.56,5397.21,9543
2026-03-02 15:00:00,5397.21,5410.15,5382.07,5401.66,22418
2026-03-02 15:30:00,5401.74,5416.72,5389.42,5393.94,19091
2026-03-02 16:00:00,5393.94,5395.27,5307.27,5333.64,27151
2026-03-02 16:30:00,5333.6,5355.96,5306.94,5333.6,34321
2026-03-02 17:00:00,5333.6,5346.88,5311.29,5331.02,31819
2026-03-02 17:30:00,5331.01,5348.91,5308.32,5315.85,26490
2026-03-02 18:00:00,5315.55,5315.55,5260.77,5309.91,30805
2026-03-02 18:30:00,5309.92,5311.84,5282.37,5290.24,25190
2026-03-02 19:00:00,5290.24,5312.23,5287.04,5304.69,21323
2026-03-02 19:30:00,5304.85,5320.64,5298.06,5306.86,17654
