agent_idx,final_equity,winrate,trades,max_losing_streak,avg_monthly_losing_streak,sharpe
22012,11.978126,0.3867224,2154,15,8.0,8.544529
78204,11.957485,0.4594945,3086,12,7.041666666666667,9.287808
43811,11.947294,0.38849264,2103,14,7.958333333333333,8.596128
80989,11.843011,0.26807228,3652,30,14.0,5.8583307
77842,11.718673,0.3197763,1967,26,9.875,7.3775434
30752,11.673606,0.3885069,2036,19,7.708333333333333,8.492282
10805,11.6529455,0.40184522,5853,18,8.833333333333334,6.798616
8303,11.611387,0.3609035,17930,15,12.375,3.9785168
3589,11.518988,0.40861642,5269,14,8.791666666666666,7.0566998
71378,11.486568,0.28373832,2675,23,11.625,6.4181213
54841,11.482006,0.26104623,3938,29,15.208333333333334,5.50282
70430,11.43631,0.47129908,2648,11,6.416666666666667,9.469585
65679,11.378631,0.25903615,2158,23,12.291666666666666,6.163153
95266,11.313952,0.45653638,2968,15,7.083333333333333,8.927594
36428,11.297792,0.3230344,3981,24,11.125,6.285326
99156,11.253189,0.39283833,1899,12,7.291666666666667,8.420098
49613,11.1301985,0.43510816,3606,10,7.125,8.070345
93239,11.111281,0.2561702,2350,22,11.791666666666666,5.8722835
32314,11.090498,0.4225012,4142,20,8.833333333333334,7.5628257
23884,11.044222,0.27209532,3021,18,11.291666666666666,5.8858566
82222,10.997113,0.3053071,5031,19,11.791666666666666,5.501149
11087,10.966642,0.2169448,2337,33,14.208333333333334,5.2558484
51438,10.759493,0.42295,3939,14,8.458333333333334,7.4846997
84794,10.719765,0.32037324,3858,17,10.875,6.027754
97868,10.679447,0.2372093,1720,29,12.708333333333334,5.7135973
5680,10.672156,0.2951501,2165,17,10.458333333333334,6.481418
20729,10.639817,0.30189374,5439,21,12.916666666666666,5.148644
68887,10.632381,0.22741531,3188,25,14.916666666666666,4.9589276
39270,10.577398,0.3481873,2648,13,9.166666666666666,6.967465
49872,10.459553,0.24003856,6224,25,15.333333333333334,4.1051087
70162,10.44574,0.34205872,2827,14,9.208333333333334,6.6995163
5159,10.404008,0.45089757,2841,11,6.708333333333333,8.347535
90041,10.391294,0.33590236,1557,15,9.208333333333334,7.2004504
78229,10.290155,0.3422619,2688,21,10.166666666666666,6.716524
92116,10.236868,0.39567047,1663,13,6.875,8.071866
32800,10.228537,0.20413436,2709,25,15.208333333333334,4.645462
84424,10.182898,0.32188842,1631,21,8.708333333333334,6.9080286
85461,10.101724,0.32382354,3400,22,10.25,5.985244
92782,10.091076,0.3960813,5461,16,10.666666666666666,6.0246863
7449,10.052938,0.30922142,1811,18,9.5,6.5679183
25228,10.022605,0.28630993,1439,17,10.041666666666666,6.312003
47808,9.992942,0.34364262,2619,14,9.5,6.606552
74283,9.895196,0.34946236,2418,15,9.583333333333334,6.7565856
49591,9.88996,0.3782298,1819,19,7.916666666666667,7.533939
92411,9.817874,0.3979946,5186,16,9.416666666666666,5.9952326
7374,9.806665,0.44472092,2813,10,6.291666666666667,7.8817058
86548,9.755065,0.2527038,3791,22,13.75,4.7267647
