agent_idx,final_equity,winrate,trades,max_drawdown
779,9.932515,0.5603581,3239,0.03946429
2463,9.927652,0.56342745,2089,0.03477782
2324,9.91687,0.31648353,2730,0.06151857
340,9.911643,0.45347825,4600,0.13105886
3943,9.908409,0.5479415,3692,0.13335787
684,9.9003315,0.37803397,3296,0.056451123
4211,9.8946905,0.59678286,1865,0.03911492
1497,9.891705,0.48717093,3001,0.0746713
5452,9.8856,0.41734052,2226,0.1767393
6682,9.879553,0.4016795,1429,0.06059632
5755,9.875788,0.45396477,4540,0.20263804
9,9.870718,0.43583027,1909,0.13845241
844,9.864158,0.4526131,6257,0.15068252
4366,9.854302,0.2997832,3229,0.058190297
6089,9.831875,0.62760675,2014,0.044117365
1928,9.831091,0.44141498,8509,0.21790338
2736,9.816642,0.48777306,3067,0.06785208
4527,9.814154,0.4050308,1948,0.058889624
6286,9.808123,0.46213293,1294,0.03378706
3824,9.804947,0.43119267,3161,0.058977492
5429,9.797499,0.46648452,5490,0.062308155
2967,9.796187,0.3410889,2149,0.036625363
5399,9.789747,0.38920864,1390,0.1141337
1133,9.785626,0.486,4500,0.143531
4047,9.774984,0.30907243,2954,0.06216061
4547,9.772311,0.4105583,2633,0.036860876
4102,9.753455,0.35681063,3010,0.09275442
2307,9.73997,0.47444552,2074,0.05412009
1242,9.732154,0.5217774,2273,0.06413473
3313,9.726464,0.43547502,1821,0.117059305
4136,9.722468,0.41066504,3263,0.0660408
4230,9.719803,0.50795454,1760,0.03550611
5534,9.716301,0.43657923,2783,0.06383178
2094,9.7117195,0.49039727,3801,0.14184599
375,9.703254,0.37116316,2476,0.06758499
189,9.702689,0.53985393,3149,0.07511296
2507,9.702653,0.5375796,1570,0.086040914
2093,9.701244,0.4679089,1932,0.04171048
709,9.695107,0.47418246,2324,0.057342388
6289,9.691177,0.4431818,1496,0.0296006
5895,9.68569,0.4400234,5127,0.12889835
5892,9.659863,0.4275717,1429,0.056327023
6407,9.654362,0.4947329,2658,0.087406814
6078,9.650948,0.44635195,3262,0.124178186
3672,9.631739,0.427953,4851,0.09644605
52,9.624994,0.39371625,2037,0.08359803
2705,9.621479,0.44747394,1247,0.044660654
6279,9.613016,0.5033408,1796,0.04933881
5006,9.597576,0.340694,1585,0.042653266
1850,9.575641,0.5163381,3703,0.05363346
2354,9.568535,0.35586482,3018,0.10506478
2715,9.564892,0.36100388,4144,0.07639712
2545,9.556017,0.37648726,3530,0.091364376
5062,9.552448,0.4972539,2367,0.037250515
