agent_idx,final_equity,winrate,trades,max_drawdown,sharpe,orders_placed,orders_cancelled
2284,2.0336468,0.26067415,445,0.107704006,2.133507365324567,557,112
2159,2.0335076,0.43597335,1351,0.07741194,3.2704239245128783,1726,375
1029,2.0333886,0.34234235,888,0.14615497,2.4928893262550753,1237,349
2564,2.0332322,0.33974358,156,0.0611459,2.6162349311362556,164,7
3624,2.0330675,0.3218232,724,0.059981607,2.2918779166621177,911,187
1352,2.032831,0.31552163,786,0.095642984,2.1779196578690767,1089,303
844,2.0324824,0.24319066,514,0.09330891,2.212547644310216,671,157
3449,2.031308,0.2658228,316,0.17658745,1.9042960025206286,475,158
666,2.031188,0.2730085,1293,0.07853416,2.642638015662695,1743,450
3694,2.030935,0.32924694,1142,0.10730062,2.6135380212970447,1667,525
1053,2.0308812,0.26041666,192,0.05358604,2.3359457121516938,219,27
347,2.0304832,0.38196915,843,0.031707417,3.676871267809497,1018,175
3389,2.0291445,0.48655257,409,0.026415765,5.2308528849887095,451,42
2367,2.0283337,0.26957637,779,0.11854247,2.0232968995839307,1187,408
3568,2.0268886,0.23838384,495,0.13033786,1.782671728615474,958,463
83,2.025569,0.40425533,94,0.04321891,2.863965704290683,97,3
2104,2.0254774,0.26086956,161,0.06275787,2.57976857242351,189,27
2933,2.0254252,0.23273657,391,0.052859146,2.0563858190314876,522,131
1113,2.0253642,0.31363636,440,0.08859567,2.4274462238403536,627,187
3168,2.024878,0.31914893,940,0.12422621,2.390301133351866,1296,356
1955,2.0247526,0.3279396,927,0.06185788,2.8426423287443776,1367,440
2805,2.0241969,0.4371362,1718,0.041528955,3.7453008853212713,2116,398
988,2.0239882,0.47239265,163,0.023239786,4.442629622694445,167,4
1982,2.023969,0.32073012,767,0.11407718,2.2881562809576286,1156,389
3805,2.0237908,0.27710843,332,0.076857276,2.585814431919653,367,35
3263,2.0222864,0.37654322,486,0.03473726,3.5789542390844,525,39
2346,2.0211227,0.38255033,298,0.023863835,3.6757966918041083,322,24
327,2.0209303,0.30864197,162,0.043987464,2.45200745532861,171,9
3796,2.0208414,0.3878327,263,0.036542114,3.2927339616035676,276,13
2623,2.0206256,0.25193465,1163,0.11559702,2.090687383610837,1756,593
2227,2.0205245,0.2598684,304,0.050772227,2.0197464499456705,401,97
1277,2.0193996,0.2969697,825,0.040241476,3.0892125457567583,1043,218
970,2.018845,0.27716535,635,0.22085951,2.0541914511123966,1003,368
472,2.018271,0.26244345,221,0.07774988,2.447471980667724,281,60
2617,2.0174403,0.28,175,0.031740703,2.4988443235466007,180,4
2204,2.0161452,0.26915708,1044,0.14937228,2.242079405793545,1500,456
3503,2.0158486,0.39285713,56,0.046425167,2.4020738643735076,56,0
428,2.0156207,0.3226048,1336,0.18371634,2.4288445417111344,1984,648
1840,2.015278,0.23285198,554,0.07400629,2.123801552122732,776,222
3901,2.014793,0.26757812,1024,0.09026437,2.441542510665153,1415,391
1993,2.0146182,0.32703862,1165,0.07929382,2.5509508709581987,1531,365
2811,2.01362,0.2583732,1463,0.075952224,2.469765001293096,1998,535
1052,2.013139,0.39466667,750,0.029384598,3.847386296897169,880,130
234,2.0123773,0.35826772,254,0.02939627,3.2871880027781533,267,13
223,2.0109434,0.34302327,172,0.037665777,3.036143305320708,173,1
3992,2.0093064,0.2361809,199,0.04482444,2.451431398742203,215,15
4150,2.0092776,0.4318182,132,0.018643722,3.141967917851367,136,4
1492,2.00898,0.29069766,86,0.031038895,2.3940045262710608,92,5
3479,2.0087543,0.2665549,1193,0.056426425,2.7264618985654203,1583,390
3348,2.0079641,0.33486238,218,0.0552817,2.5311322478158456,252,34
2109,2.0078726,0.24407253,717,0.060475517,2.366501766584475,870,153
3098,2.007399,0.24886878,442,0.07732925,2.315795601305682,519,77
4071,2.0071006,0.36758894,253,0.048915606,3.119790566936081,299,46
2741,2.0068574,0.2402464,487,0.1403316,1.8240729077208973,731,244
1253,2.0065246,0.30023924,836,0.05076672,3.228423540408577,955,119
2806,2.0060759,0.3744681,470,0.03709749,3.952240111691757,552,82
1785,2.0059187,0.28910613,716,0.051396176,2.6639223094692945,871,155
1190,2.0038984,0.33617023,235,0.021443201,3.0849185205403296,260,25
1515,2.003196,0.23737374,396,0.10603842,1.9703528708376516,558,161
3278,2.0027652,0.3973607,682,0.030119855,3.8221218812041418,823,141
3284,2.0018947,0.32980973,946,0.1351139,2.2911896394068347,1357,410
3755,2.0017853,0.40288222,1596,0.067086086,2.754871257998361,2222,626
374,2.001493,0.22698073,467,0.06676172,2.0786839596509257,552,85
3370,2.0013113,0.28521127,852,0.09392593,2.5016111541234056,1197,345
1059,2.0010087,0.24622357,662,0.12279589,2.072589523275483,891,229
1380,2.0002675,0.35555556,180,0.024236383,3.669994587447001,195,15
3770,1.9995148,0.38575667,337,0.04119093,2.8312845751094935,390,53
2164,1.9992396,0.2511774,637,0.064683534,2.467832084422533,841,204
2453,1.9990145,0.22599705,677,0.10901589,2.0105667431176455,864,187
2111,1.9987968,0.2340824,534,0.16520722,1.7962654567487486,917,383
3010,1.9983425,0.32997313,1488,0.065049976,2.9822484603907413,1999,511
3601,1.9982154,0.27128714,505,0.07098426,2.445638575429138,665,160
2023,1.9981558,0.4779559,998,0.02793013,4.479291189637159,1249,251
3817,1.9980923,0.37198067,621,0.054664347,3.445053295260296,730,109
207,1.9977664,0.24545455,220,0.08402441,2.0251229309151797,256,35
2152,1.9974496,0.29918033,488,0.12025156,2.1271797934330614,657,169
2558,1.9973642,0.25510204,392,0.11662616,2.117771322514149,468,76
641,1.9970448,0.27391306,920,0.098387696,2.317837432545533,1273,352
1969,1.997007,0.31932774,238,0.0461877,2.7655690609749635,297,59
3084,1.9968108,0.26157406,1296,0.048059143,2.593451669579051,1799,503
1255,1.9966997,0.28380635,599,0.11536563,2.0624432291914503,854,255
2675,1.9963273,0.3327091,1602,0.084736116,2.8456286020347856,2045,443
3299,1.9962355,0.2857143,119,0.04357663,2.3933630587252077,143,23
2245,1.9960706,0.22189781,685,0.06552954,2.0440589422921347,1060,375
2917,1.9959877,0.32263815,561,0.039415203,3.083395348100275,760,199
3640,1.9958649,0.32664436,897,0.12658215,2.427547467364967,1239,342
2241,1.9958063,0.30652174,460,0.05894557,2.7461850929235903,612,152
482,1.9955417,0.33333334,96,0.029551456,2.7507091948783318,107,11
1224,1.9946467,0.3298969,582,0.043301597,3.573809159388215,642,60
2698,1.9944865,0.3386752,936,0.060359374,2.890734968442463,1277,340
3598,1.9940817,0.33900708,705,0.12876064,2.290645869017283,1080,375
203,1.9938662,0.2667364,956,0.12637335,2.2081878201764575,1340,384
1626,1.9934595,0.34289616,732,0.057570998,3.0840496687107555,826,94
1173,1.9933839,0.39716312,141,0.024274476,3.4953695903256174,147,6
3733,1.9928576,0.2606635,422,0.12145448,2.1101744632118065,561,139
664,1.9927182,0.48943663,284,0.018106932,4.615829690969014,319,35
1437,1.9925858,0.26398602,572,0.07180701,2.5927845378251297,743,171
3427,1.9925104,0.34533897,472,0.0553863,3.1826805421774638,587,115
3260,1.9923761,0.2929293,594,0.04173477,2.918237855455027,789,195
1623,1.9915947,0.4646997,949,0.042036787,4.089882659842067,1094,145
1603,1.9908214,0.3436853,483,0.042249236,3.1571107850094435,593,110
1177,1.9902717,0.3318535,901,0.12484801,2.382941655292694,1246,345
2524,1.9888264,0.39322916,384,0.024298824,3.7687663427529174,427,43
667,1.9877223,0.51525426,295,0.016823743,5.144247939932334,315,20
991,1.9874609,0.56989247,279,0.019602891,5.835402006275145,287,7
1791,1.9873594,0.5163776,519,0.041788083,4.001070779443556,569,50
2886,1.987115,0.29575506,1437,0.0995998,2.144893091795541,2252,814
864,1.9863014,0.5923567,157,0.022475807,4.874391134515954,159,2
1284,1.984719,0.41791046,67,0.015654244,2.94115426340448,67,0
971,1.9845014,0.5134443,781,0.019831218,4.7533306894930885,930,149
1847,1.9836351,0.3392172,1303,0.06481479,3.1442815084030364,1621,318
