filter_idx,final_equity,winrate,trades,max_losing_streak,avg_monthly_losing_streak,sharpe
88127,22.511446,0.41307217,9853,23,9.916666666666666,10.489798
52053,22.5099,0.41641048,9433,16,10.333333333333334,10.697481
69746,22.507149,0.41268402,9918,16,9.833333333333334,10.456364
52026,22.506496,0.4098313,10314,20,10.916666666666666,10.273332
38204,22.50398,0.41668445,9374,15,9.708333333333334,10.7262745
98489,22.503119,0.424879,8473,13,9.083333333333334,11.225297
74002,22.502275,0.41847295,9181,15,9.541666666666666,10.827319
59338,22.501219,0.41036907,10242,18,10.708333333333334,10.304246
16441,22.500572,0.40710357,10727,19,11.333333333333334,10.087223
64543,22.499863,0.4213865,8828,12,9.166666666666666,11.019169
47068,22.497309,0.41356072,9793,16,9.666666666666666,10.511664
65336,22.49533,0.41464934,9625,14,10.0,10.595099
60663,22.49186,0.41545895,9522,14,9.666666666666666,10.645127
97332,22.491404,0.4056526,10933,21,11.541666666666666,9.995124
94271,22.488493,0.41599578,9440,13,9.583333333333334,10.68524
31179,22.478535,0.4180613,9202,15,9.791666666666666,10.804049
44173,22.478163,0.4060178,10901,18,10.5,10.004425
57156,22.471605,0.4135531,9769,19,11.041666666666666,10.513368
95996,22.469707,0.41708705,9317,13,9.208333333333334,10.740427
79019,22.463512,0.40870732,10428,18,10.791666666666666,10.200427
52271,22.462582,0.41129193,10078,18,10.125,10.36019
3811,22.461964,0.41145417,10040,16,9.75,10.378685
96753,22.461227,0.41810063,9182,14,9.916666666666666,10.807326
4268,22.46072,0.415989,9469,16,9.708333333333334,10.65668
73518,22.459782,0.42030933,8922,13,9.291666666666666,10.946812
6989,22.458483,0.41797215,9192,13,9.416666666666666,10.799693
37493,22.456367,0.41314077,9832,17,9.833333333333334,10.474454
19463,22.45481,0.4180551,9183,13,9.541666666666666,10.802731
91722,22.454723,0.41346747,9742,15,10.083333333333334,10.517585
60111,22.45384,0.41985753,8984,13,9.583333333333334,10.909483
69381,22.448717,0.41217303,9940,16,10.75,10.420254
60540,22.447372,0.41831493,9151,12,9.5,10.817181
54098,22.44726,0.42098138,8865,13,9.541666666666666,10.972556
5262,22.446129,0.4200134,8964,13,9.541666666666666,10.9167
89285,22.44511,0.41413933,9661,12,9.625,10.553045
62467,22.443375,0.41340554,9787,15,9.75,10.490149
75652,22.442503,0.40955698,10338,20,10.083333333333334,10.232048
23466,22.44062,0.4072339,10672,17,10.75,10.083861
38859,22.437656,0.409607,10305,21,10.958333333333334,10.245429
95188,22.437216,0.42745575,8195,12,9.041666666666666,11.360566
85336,22.434772,0.41667557,9355,13,9.791666666666666,10.70366
11636,22.433603,0.41877812,9117,14,9.75,10.827759
61255,22.431595,0.40856513,10461,19,11.25,10.17233
86714,22.430672,0.4078413,10585,17,10.5,10.1172695
82205,22.428732,0.41455036,9608,13,9.958333333333334,10.572266
86061,22.428385,0.4135315,9755,18,10.166666666666666,10.498585
1082,22.42642,0.40559313,10942,20,11.25,9.963364
73179,22.425793,0.42365164,8566,14,9.375,11.131705
75094,22.425196,0.41655114,9377,14,9.333333333333334,10.689495
52623,22.419971,0.40484586,11061,20,11.458333333333334,9.91153
21310,22.419327,0.41233996,9919,17,10.041666666666666,10.41551
4156,22.418867,0.4164623,9379,13,9.791666666666666,10.684238
62169,22.418167,0.4174307,9271,13,9.208333333333334,10.739498
93557,22.417717,0.41030928,10185,17,11.041666666666666,10.290284
88979,22.416582,0.41944414,9031,17,10.208333333333334,10.867067
48759,22.415346,0.4121438,9931,16,11.166666666666666,10.409073
52299,22.411432,0.4139141,9688,14,10.083333333333334,10.523992
74758,22.409338,0.41053462,10138,15,9.75,10.308052
53342,22.408155,0.41299018,9792,17,9.875,10.471974
43217,22.404655,0.41970354,8973,15,9.875,10.891195
23220,22.401432,0.41385013,9675,15,10.0,10.526082
97150,22.401205,0.4154284,9489,13,9.75,10.61859
93030,22.400187,0.41057712,10154,14,9.416666666666666,10.296582
18037,22.393263,0.41388947,9662,15,9.875,10.527351
50312,22.392822,0.41664878,9322,14,10.0,10.700113
56809,22.39155,0.41147083,10008,16,9.875,10.358917
68712,22.391272,0.40584236,10886,19,10.666666666666666,9.971923
92420,22.390854,0.42139366,8797,11,9.041666666666666,10.983103
27132,22.389225,0.41878647,9081,13,9.166666666666666,10.826434
56566,22.388315,0.40791348,10539,17,9.75,10.11727
11181,22.385345,0.41827345,9128,14,9.875,10.799672
65186,22.384983,0.40744582,10610,17,10.333333333333334,10.08505
47501,22.380173,0.41594234,9434,17,9.625,10.635993
70522,22.379814,0.40548447,10940,16,10.583333333333334,9.942968
59176,22.379332,0.416882,9288,13,9.375,10.711406
30017,22.379278,0.4172981,9238,16,9.875,10.737534
74382,22.377892,0.4123649,9899,18,10.791666666666666,10.407914
85646,22.376278,0.4110039,10051,15,10.0,10.333712
43437,22.375654,0.4088494,10351,16,9.458333333333334,10.193516
64458,22.37306,0.4223631,8675,15,9.75,11.043422
8089,22.367708,0.41471326,9556,16,9.541666666666666,10.569946
49261,22.364096,0.42012367,8895,13,9.583333333333334,10.914725
1333,22.360369,0.41493037,9551,17,9.75,10.570312
91096,22.352032,0.41048467,10110,14,9.916666666666666,10.294116
64436,22.346125,0.40934706,10292,14,10.166666666666666,10.208624
98396,22.345348,0.42123833,8786,11,8.833333333333334,10.967645
20158,22.345028,0.4125533,9846,17,10.0,10.417224
52489,22.344992,0.4291422,8009,13,9.291666666666666,11.430213
87844,22.344501,0.41672033,9318,16,9.583333333333334,10.678134
61729,22.343946,0.41996634,8915,13,9.625,10.894028
95380,22.34298,0.41185963,9916,15,9.958333333333334,10.380592
20828,22.341593,0.41643482,9346,17,10.291666666666666,10.663953
3737,22.339937,0.4232428,8579,12,9.541666666666666,11.082477
72231,22.339075,0.43139014,7805,13,9.458333333333334,11.558367
78864,22.33873,0.40945342,10282,17,10.458333333333334,10.208623
60582,22.336742,0.4152578,9464,13,9.625,10.601384
60726,22.331648,0.40965855,10250,20,11.291666666666666,10.222484
94685,22.331303,0.41242135,9854,18,9.958333333333334,10.404621
51245,22.329317,0.41077107,10064,14,10.416666666666666,10.305805
48032,22.328861,0.41040292,10151,18,9.958333333333334,10.2652645
11994,22.327652,0.41170555,9944,18,10.0,10.3616295
92238,22.32674,0.42480084,8411,12,9.083333333333334,11.17393
81614,22.3259,0.42525434,8355,13,9.25,11.206876
99818,22.32488,0.40532625,10927,18,10.125,9.923121
36846,22.32141,0.41520405,9458,14,9.958333333333334,10.596352
65860,22.31795,0.41577098,9397,13,9.458333333333334,10.625876
41272,22.317255,0.41817385,9123,16,10.416666666666666,10.768637
86840,22.31512,0.41027918,10137,14,10.25,10.265864
88284,22.310724,0.41553336,9412,14,9.75,10.614712
19004,22.310354,0.418364,9083,16,9.625,10.786639
94569,22.307917,0.40868393,10387,20,11.458333333333334,10.148084
54121,22.307364,0.42051744,8851,14,9.583333333333334,10.912384
80092,22.306332,0.42370492,8513,13,9.25,11.103678
64772,22.305603,0.42066547,8836,12,8.916666666666666,10.919147
14492,22.304146,0.40432823,11090,18,10.583333333333334,9.848272
45188,22.303406,0.41096163,10035,17,10.208333333333334,10.307591
61718,22.298954,0.41118783,9993,14,9.458333333333334,10.324889
71146,22.296892,0.41081187,10063,17,10.833333333333334,10.291975
88862,22.295155,0.4085618,10395,19,10.875,10.141071
81167,22.291597,0.42871374,8031,14,9.041666666666666,11.389887
